"NT_GER","QE_I08","QE_I04","QE_I05"
91.8,"F","E","F"
89.9,"E","E","E"
88.7,"E","E","E"
88.6,"F","E","E"
88.5,"F","F","F"
87.8,"F","F","B"
86.5,"E","F","F"
85.9,"E","E","E"
85.3,"D","F","E"
84.8,"F","E","E"
84.8,"D","E","E"
84,"D","F","D"
83.5,"F","E","E"
82.7,"C","D","D"
82.6,"E","C","C"
82.5,"C","E","A"
82.3,"D","D","D"
82.3,"E","D","E"
81.1,"E","D","E"
81,"D","D","D"
80.8,"A","E","E"
80.8,"D","D","F"
80.5,"C","B","F"
80.4,"E","E","D"
80.4,"A","A","D"
80.3,"F","E","E"
80.3,"A","B","E"
80.2,"E","C","F"
80.1,"F","C","F"
80.1,"A","D","D"
79.9,"D","B","D"
79.7,"E","D","D"
79.6,"B","D","D"
79.6,"A","B","B"
79.5,"B","D","F"
79.4,"B","E","E"
79.2,"C","C","F"
79,"B","D","E"
79,"B","E","E"
79,"F","E","F"
79,"F","E","D"
78.9,"E","E","E"
78.6,"C","D","D"
78.1,"D","D","D"
78.1,"A","B","D"
77.9,"C","D","D"
77.8,"E","E","E"
77.8,"B","D","D"
77.8,"C","E","E"
77.8,"C","D","F"
77.6,"E","E","E"
77.6,"D","D","E"
77.6,"C","F","E"
77.5,"A","E","B"
77.5,"E","F","F"
77.4,"B","C","F"
77.4,"F","E","F"
77.3,"B","A","B"
77.3,"A","A","B"
77.2,"B","D","D"
77,"A","B","C"
77,"C","B","B"
77,"E","E","F"
77,"F","D","F"
76.9,"B","B","D"
76.9,"F","E","E"
76.8,"F","D","E"
76.7,"F","B","E"
76.6,"A","B","D"
76.6,"B","E","E"
76.6,"A","B","D"
76.4,"C","C","C"
76.4,"F","F","F"
76.4,"E","D","D"
76.4,"F","F","F"
76.3,"C","B","B"
76.3,"B","D","D"
76.1,"C","E","D"
76.1,"D","E","D"
76,"A","B","B"
75.8,"A","C","B"
75.7,"E","E","E"
75.7,"C","D","E"
75.6,"D","B","F"
75.4,"E","A","D"
75.4,"A","A","B"
75.3,"E","D","D"
75.3,"E","C","D"
75.2,"B","C","D"
75.1,"F","F","F"
75,"A","B","B"
75,"B","D","D"
75,"B","B","B"
74.9,"D","D","D"
74.9,"E","F","E"
74.7,"C","E","D"
74.7,"D","C","D"
74.7,"C","D","D"
74.7,"G","F","F"
74.6,"A","E","D"
74.6,"A","D","D"
74.6,"C","D","D"
74.5,"A","C","B"
74.4,"A","A","C"
74.3,"E","C","B"
74.3,"D","D","D"
74.1,"F","E","F"
74.1,"B","D","D"
74.1,"B","E","B"
74,"C","E","E"
74,"A","C","C"
74,"A","E","E"
73.9,"A","D","C"
73.9,"C","B","E"
73.9,"A","B","B"
73.8,"E","F","F"
73.7,"E","E","E"
73.6,"F","F","D"
73.6,"E","F","F"
73.6,"E","D","D"
73.6,"F","F","E"
73.5,"C","D","D"
73.5,"C","D","D"
73.4,"B","C","D"
73.4,"D","D","D"
73.4,"A","B","B"
73.4,"A","B","A"
73.4,"B","B","D"
73.4,"D","F","F"
73.3,"E","E","E"
73.3,"A","A","B"
73.2,"F","F","E"
73.2,"F","E","E"
73.1,"A","C","C"
73.1,"F","E","E"
73,"A","B","B"
73,"D","C","E"
72.9,"B","E","E"
72.8,"B","D","B"
72.8,"E","F","F"
72.7,"C","A","D"
72.6,"B","B","A"
72.6,"D","E","F"
72.5,"B","B","B"
72.4,"B","E","E"
72.4,"B","E","E"
72.4,"F","E","E"
72.3,"A","B","D"
72.2,"A","D","D"
72.2,"A","B","B"
72.1,"B","D","E"
72,"D","E","D"
72,"F","E","E"
71.9,"D","F","C"
71.9,"F","F","D"
71.8,"A","E","D"
71.8,"C","E","E"
71.8,"B","B","B"
71.7,"A","D","B"
71.7,"E","F","D"
71.6,"C","D","D"
71.6,"B","D","D"
71.6,"F","F","F"
71.6,"F","E","F"
71.6,"B","D","B"
71.5,"C","E","E"
71.5,"A","C","B"
71.5,"A","E","D"
71.4,"B","E","E"
71.4,"D","E","E"
71.4,"E","A","B"
71.4,"A","E","E"
71.3,"B","A","B"
71.3,"C","D","D"
71.3,"C","A","B"
71.3,"C","B","C"
71.2,"A","C","D"
71.2,"B","E","E"
71.2,"A","B","D"
71.2,"B","A","F"
71.2,"B","D","D"
71.1,"E","D","E"
71.1,"A","D","D"
71.1,"C","D","D"
71.1,"E","C","C"
71.1,"B","E","D"
71.1,"F","E","F"
71,"A","A","B"
71,"A","B","F"
71,"F","E","E"
71,"B","D","C"
70.9,"A","D","D"
70.9,"B","D","D"
70.8,"C","C","D"
70.8,"E","E","E"
70.8,"B","B","E"
70.8,"C","E","E"
70.8,"E","C","C"
70.7,"B","A","A"
70.7,"A","D","B"
70.7,"C","C","D"
70.7,"F","E","E"
70.7,"A","D","D"
70.7,NA,NA,NA
70.6,"B","A","B"
70.6,"D","D","C"
70.5,"B","E","E"
70.5,"E","D","E"
70.5,"B","E","E"
70.5,"A","D","E"
70.4,"E","F","F"
70.4,"E","E","E"
70.4,"C","D","D"
70.4,"A","B","C"
70.4,"E","B","B"
70.3,"A","B","E"
70.3,"C","D","D"
70.3,NA,NA,NA
70.3,"D","C","C"
70.3,"A","D","D"
70.2,"E","E","E"
70.1,"B","E","E"
70.1,"D","C","C"
70.1,"A","B","D"
70,"A","B","B"
70,"B","B","B"
70,"C","D","D"
70,"C","D","E"
70,"A","D","D"
70,"C","E","E"
70,"F","F","F"
69.9,"B","B","B"
69.9,"D","E","E"
69.9,"C","C","D"
69.9,"C","D","E"
69.9,"B","D","D"
69.8,"B","D","E"
69.7,"E","D","D"
69.7,"A","B","C"
69.7,"C","A","D"
69.6,"C","D","C"
69.6,"B","B","D"
69.6,"D","D","E"
69.6,"B","A","B"
69.6,"B","D","E"
69.5,"A","E","E"
69.5,"F","E","E"
69.4,"B","D","D"
69.4,"F","C","F"
69.4,"E","D","F"
69.4,"C","B","F"
69.3,"D","F","E"
69.3,"A","A","B"
69.3,"A","C","C"
69.3,"B","D","B"
69.3,"B","B","F"
69.2,"A","B","D"
69.2,"B","D","D"
69.2,"A","A","C"
69.2,"B","A","B"
69.1,"C","D","B"
69.1,"A","D","F"
69.1,"A","D","E"
69.1,"C","C","E"
69.1,"B","E","D"
69.1,"D","F","E"
69.1,"B","D","D"
69,"D","E","E"
69,"D","D","D"
69,"B","C","F"
69,"B","D","D"
69,"F","E","F"
69,"A","A","B"
68.9,"C","D","D"
68.9,"F","E","F"
68.9,"F","E","F"
68.9,"C","E","E"
68.9,"B","E","E"
68.8,"A","B","B"
68.8,"D","B","C"
68.8,"A","C","D"
68.8,"B","D","D"
68.8,"B","F","D"
68.7,"E","D","F"
68.6,"A","C","C"
68.6,"B","E","D"
68.5,"A","C","D"
68.5,"E","B","C"
68.5,"A","B","D"
68.5,"F","E","E"
68.4,"A","A","B"
68.4,"C","C","D"
68.4,"F","F","F"
68.4,"C","F","B"
68.3,"E","D","E"
68.3,"A","D","D"
68.3,"D","C","B"
68.2,"E","C","F"
68.2,"B","E","D"
68.2,"D","D","F"
68.2,"E","E","D"
68.2,"A","B","B"
68.1,"D","C","B"
68.1,"B","D","C"
68.1,"C","D","E"
68.1,"C","D","D"
68.1,"B","D","D"
68.1,"B","C","B"
68.1,"B","E","D"
68.1,"B","D","F"
68.1,"D","D","E"
68.1,"C","D","E"
68,"D","E","E"
68,"D","F","E"
68,"B","D","D"
67.9,"F","E","F"
67.9,"A","E","D"
67.9,"E","B","D"
67.9,"B","D","D"
67.9,"F","E","E"
67.9,"E","B","B"
67.9,"E","E","E"
67.9,"B","D","B"
67.9,"C","B","A"
67.9,"D","B","B"
67.9,"D","F","D"
67.9,"F","D","E"
67.8,"A","A","A"
67.8,"E","E","D"
67.7,"E","E","E"
67.7,"B","D","D"
67.7,"B","C","E"
67.7,"C","D","E"
67.7,"A","B","B"
67.7,"E","C","D"
67.6,"D","E","E"
67.6,"B","B","C"
67.6,"B","C","C"
67.6,"C","D","D"
67.6,"F","D","E"
67.6,"B","B","C"
67.5,"D","E","D"
67.5,"B","B","B"
67.4,"C","D","E"
67.3,"B","C","B"
67.3,"A","B","B"
67.3,"E","D","E"
67.3,"B","B","F"
67.3,"B","E","D"
67.2,"A","C","D"
67.2,"B","D","D"
67.2,"D","F","D"
67.1,"B","B","B"
67.1,"A","D","B"
67.1,"E","D","E"
67.1,"E","F","F"
67.1,"D","E","E"
67.1,"D","E","E"
67.1,"B","D","C"
67,"A","D","F"
67,"C","B","C"
67,"D","D","D"
67,"D","E","F"
67,"E","B","B"
67,"C","E","F"
67,"B","D","D"
66.9,"E","D","F"
66.9,"B","B","E"
66.9,"A","B","B"
66.9,"D","E","D"
66.8,"B","D","E"
66.8,"A","A","B"
66.8,"B","E","D"
66.8,"A","B","C"
66.8,"C","B","B"
66.8,"E","E","F"
66.8,"B","D","E"
66.8,"A","B","C"
66.8,"E","E","E"
66.8,"A","D","F"
66.8,"B","C","D"
66.8,"D","D","D"
66.7,"A","B","D"
66.7,"E","D","D"
66.7,"E","E","E"
66.7,"B","B","B"
66.6,"D","F","D"
66.6,"C","E","D"
66.5,"A","B","B"
66.5,"A","B","B"
66.5,"E","D","B"
66.5,"A","D","B"
66.5,"C","E","E"
66.5,"B","C","D"
66.5,"D","B","E"
66.5,"C","E","E"
66.4,"E","E","E"
66.4,"D","D","D"
66.4,"A","D","B"
66.4,"C","E","E"
66.4,"G","D","D"
66.4,"B","C","D"
66.3,"A","D","C"
66.3,"A","B","B"
66.3,"A","B","D"
66.3,"F","E","F"
66.3,"E","F","D"
66.3,"A","B","C"
66.3,"A","B","B"
66.3,"E","D","F"
66.3,"A","C","B"
66.2,"F","D","F"
66.2,"E","E","D"
66.2,"F","E","F"
66.2,"A","B","B"
66.2,"A","D","E"
66.1,"A","E","D"
66.1,"B","B","D"
66.1,"A","B","D"
66.1,"C","D","E"
66.1,"A","D","E"
66.1,"B","B","B"
66.1,"B","B","B"
66,"A","B","C"
66,"E","E","E"
66,"B","D","E"
66,"B","A","B"
66,"C","E","D"
65.9,"D","B","B"
65.9,"B","B","B"
65.9,"B","B","B"
65.9,"C","E","E"
65.9,"E","D","F"
65.9,"B","B","B"
65.9,"E","D","E"
65.8,"B","D","D"
65.8,"B","A","B"
65.8,"C","D","E"
65.8,"B","B","F"
65.8,"F","E","D"
65.8,"B","C","B"
65.8,"C","D","D"
65.7,"C","A","A"
65.7,"F","C","C"
65.7,"C","D","C"
65.7,"F","E","E"
65.7,"C","A","B"
65.7,"B","C","D"
65.7,"E","B","E"
65.7,"A","D","D"
65.7,"B","A","C"
65.7,"B","D","E"
65.6,"A","B","C"
65.6,"A","A","B"
65.6,"A","B","D"
65.6,"C","D","D"
65.6,"C","F","D"
65.6,"B","C","B"
65.6,"E","E","E"
65.6,"A","B","D"
65.6,"B","D","D"
65.5,"E","E","E"
65.5,"F","F","E"
65.5,"C","D","B"
65.5,"B","B","C"
65.5,"A","C","D"
65.5,"B","B","B"
65.5,"C","E","F"
65.5,"B","B","A"
65.5,"D","E","F"
65.5,"D","A","F"
65.4,"D","E","E"
65.4,"A","B","D"
65.4,"A","B","D"
65.4,"D","F","F"
65.4,"C","D","F"
65.4,"C","D","F"
65.3,"B","A","B"
65.3,"A","E","D"
65.3,"B","B","C"
65.3,"D","D","E"
65.2,"A","D","D"
65.2,"A","C","D"
65.2,"B","E","E"
65.2,"C","D","F"
65.2,"D","E","E"
65.2,"A","B","B"
65.2,"E","E","F"
65.2,"C","D","C"
65.2,"A","B","B"
65.1,"A","E","D"
65.1,"B","B","B"
65.1,"B","B","D"
65.1,NA,NA,NA
65.1,"F","D","F"
65.1,"E","F","F"
65.1,"F","E","E"
65.1,"E","D","E"
65.1,"B","C","E"
65.1,"C","D","D"
65.1,"B","B","D"
65.1,"C","D","F"
65,"B","D","B"
65,"B","B","C"
65,"A","B","D"
65,"A","B","B"
65,"B","E","E"
65,"C","E","F"
65,"A","A","F"
65,"E","E","E"
65,"B","B","B"
65,"D","B","B"
65,"B","C","B"
65,"A","E","D"
64.9,"B","C","C"
64.9,"C","E","E"
64.9,"E","E","E"
64.8,"A","B","B"
64.8,"A","A","B"
64.8,"C","E","E"
64.8,"F","F","F"
64.7,"A","D","D"
64.7,"E","D","E"
64.7,"A","B","D"
64.7,"E","C","F"
64.7,"F","E","E"
64.7,"B","C","D"
64.7,"A","D","D"
64.7,"E","D","E"
64.7,"A","B","D"
64.7,"B","C","F"
64.7,"E","D","D"
64.7,"C","D","F"
64.7,"B","F","F"
64.6,"E","C","F"
64.6,"C","D","D"
64.6,"E","F","E"
64.6,"B","D","C"
64.6,"B","D","D"
64.6,"F","F","F"
64.6,"A","D","D"
64.6,"A","B","B"
64.5,"B","B","D"
64.5,"B","D","C"
64.5,"E","E","F"
64.5,"E","F","F"
64.5,"A","A","B"
64.5,"B","B","B"
64.5,"B","B","B"
64.5,"C","C","D"
64.5,"A","D","C"
64.5,"B","D","F"
64.4,"B","B","C"
64.4,"B","A","C"
64.4,"A","B","B"
64.4,"B","D","D"
64.4,"C","B","B"
64.4,"A","B","C"
64.4,"B","C","C"
64.4,"B","D","D"
64.4,"F","F","F"
64.3,"A","B","B"
64.3,"D","D","E"
64.3,"D","E","E"
64.3,"D","D","D"
64.3,"E","B","B"
64.3,"A","A","A"
64.3,"C","C","D"
64.2,"B","D","B"
64.2,"D","D","F"
64.2,"C","D","E"
64.2,"C","D","D"
64.2,"D","E","E"
64.2,"A","D","B"
64.1,"A","A","B"
64.1,"B","A","B"
64.1,"E","E","F"
64.1,"A","B","B"
64.1,"B","D","D"
64.1,"A","C","C"
64.1,"B","D","D"
64.1,"A","B","B"
64.1,"C","D","E"
64.1,"B","D","D"
64.1,"B","C","C"
64.1,"C","B","B"
64,"B","B","C"
64,"B","D","D"
64,"B","C","C"
64,"B","C","D"
64,"B","B","A"
64,"C","E","F"
64,"A","B","D"
63.9,"C","E","E"
63.9,"B","A","A"
63.9,"C","D","F"
63.9,"C","C","F"
63.9,"C","E","E"
63.9,"E","C","E"
63.9,"A","C","B"
63.9,"C","C","C"
63.9,"A","E","D"
63.9,"B","B","D"
63.8,NA,NA,NA
63.8,"E","E","F"
63.8,"C","D","F"
63.8,"A","A","B"
63.8,"A","D","D"
63.8,"B","A","B"
63.8,"C","B","E"
63.7,"F","E","F"
63.7,"B","D","E"
63.7,"E","D","E"
63.7,"E","D","F"
63.7,"B","B","D"
63.7,"A","B","D"
63.7,"A","A","D"
63.7,"E","D","F"
63.7,"B","B","D"
63.7,"B","E","E"
63.7,"A","B","B"
63.6,"E","D","E"
63.6,"E","F","C"
63.6,"D","E","F"
63.6,"E","F","F"
63.6,"F","A","A"
63.6,"C","D","D"
63.6,"D","E","E"
63.5,"D","B","B"
63.5,"B","B","B"
63.5,"F","F","F"
63.5,"A","B","D"
63.5,"F","B","B"
63.5,"B","B","B"
63.5,"B","B","B"
63.5,"B","D","F"
63.5,"A","B","C"
63.4,"A","B","B"
63.4,"B","B","D"
63.4,"F","E","F"
63.4,"A","D","D"
63.4,"B","C","F"
63.4,"B","D","C"
63.4,"E","D","D"
63.3,"A","E","C"
63.3,"F","D","D"
63.3,"C","D","E"
63.2,"B","E","E"
63.2,"C","A","B"
63.2,"A","B","C"
63.2,"B","A","B"
63.2,"B","B","E"
63.2,"D","E","D"
63.2,"F","E","D"
63.2,"A","D","D"
63.2,"C","B","B"
63.2,"C","D","A"
63.2,"E","D","E"
63.2,"A","B","C"
63.2,"F","F","D"
63.2,"B","C","D"
63.1,"B","C","D"
63.1,"E","E","E"
63.1,"B","D","C"
63.1,"C","D","F"
63.1,"C","B","D"
63.1,"D","B","D"
63.1,"A","E","E"
63.1,"C","D","E"
63.1,"B","B","B"
63,"F","D","F"
63,"B","C","E"
63,"A","C","D"
63,"B","D","E"
63,"C","E","E"
63,"C","C","B"
63,"E","E","E"
63,"C","B","B"
62.9,"A","C","B"
62.9,"B","D","D"
62.9,"D","E","E"
62.9,"A","D","D"
62.9,"B","C","D"
62.9,"D","B","B"
62.9,"D","D","D"
62.9,"A","D","E"
62.8,"E","F","F"
62.8,"F","E","D"
62.8,"A","D","D"
62.8,"A","B","D"
62.8,"B","C","E"
62.7,"B","A","B"
62.7,"A","C","D"
62.7,"B","E","E"
62.7,"B","B","D"
62.7,"B","C","D"
62.6,"E","F","F"
62.6,"A","B","B"
62.6,"A","C","C"
62.6,"C","D","D"
62.6,"B","E","D"
62.6,"A","A","B"
62.6,"C","D","D"
62.6,"B","D","E"
62.6,"C","E","E"
62.5,"A","F","D"
62.5,"B","B","A"
62.5,"A","D","B"
62.5,"F","D","F"
62.5,"F","F","E"
62.5,"B","D","C"
62.5,NA,NA,NA
62.5,"B","D","E"
62.5,"A","A","C"
62.5,"E","F","E"
62.5,"A","B","D"
62.5,"E","F","F"
62.5,"A","B","D"
62.4,"C","B","D"
62.4,"B","A","B"
62.4,"E","F","F"
62.4,"E","F","F"
62.4,"C","B","D"
62.4,"C","E","F"
62.4,"B","A","B"
62.4,"A","B","B"
62.3,"A","D","E"
62.3,"B","A","A"
62.3,"D","D","E"
62.3,"D","D","F"
62.3,"F","E","B"
62.3,"E","D","E"
62.3,"D","E","D"
62.3,"B","A","A"
62.3,"E","D","E"
62.3,"B","D","D"
62.3,"B","D","F"
62.3,"A","A","B"
62.2,"A","B","B"
62.2,"A","D","E"
62.2,"F","D","F"
62.2,"C","E","D"
62.2,"A","D","C"
62.2,"C","D","D"
62.2,"A","B","D"
62.2,"C","E","D"
62.2,"C","A","B"
62.2,"B","F","D"
62.2,"C","B","B"
62.1,"D","B","C"
62.1,"B","C","C"
62.1,"D","D","F"
62.1,"C","D","F"
62.1,"A","B","B"
62.1,"D","E","F"
62.1,"A","C","A"
62.1,"C","C","D"
62.1,"B","B","B"
62.1,"A","D","D"
62,"A","B","B"
62,"C","D","D"
62,"A","C","D"
62,"E","F","F"
62,"B","C","D"
62,"A","B","D"
61.9,"A","A","A"
61.9,"C","C","F"
61.9,"E","E","D"
61.9,"B","A","A"
61.9,"A","A","B"
61.9,"A","B","B"
61.9,"F","F","F"
61.9,"C","B","D"
61.9,"B","C","D"
61.9,"A","B","C"
61.9,"B","D","D"
61.8,"B","B","C"
61.8,"C","D","E"
61.8,"E","D","D"
61.8,"F","D","E"
61.8,"B","B","D"
61.8,"G","E","E"
61.7,"A","B","C"
61.7,"D","E","E"
61.7,"C","D","F"
61.7,"D","D","D"
61.7,"D","F","D"
61.6,"C","D","E"
61.6,"A","D","D"
61.6,"C","D","D"
61.6,"B","D","D"
61.6,"F","E","E"
61.6,"B","D","D"
61.5,"A","C","B"
61.5,"B","B","B"
61.5,"D","D","E"
61.5,"E","F","D"
61.5,"E","E","F"
61.5,"A","E","D"
61.5,"A","D","C"
61.5,"F","C","E"
61.5,"B","A","A"
61.5,"B","B","C"
61.4,"F","D","E"
61.4,"A","B","B"
61.4,"A","A","A"
61.4,"A","B","B"
61.4,"E","E","D"
61.4,"B","D","D"
61.4,"D","E","E"
61.4,"B","B","F"
61.4,"E","E","D"
61.4,"B","D","F"
61.4,"C","E","D"
61.4,"A","D","B"
61.4,"B","D","D"
61.4,"C","D","D"
61.4,"C","D","D"
61.4,"A","D","E"
61.3,"A","B","B"
61.3,"B","B","B"
61.3,NA,NA,NA
61.3,"C","F","E"
61.3,"F","E","F"
61.3,"E","E","E"
61.3,"C","D","D"
61.3,"B","E","E"
61.3,"B","D","D"
61.2,"A","C","C"
61.2,"B","D","B"
61.2,"A","A","B"
61.2,"C","C","C"
61.2,"D","D","F"
61.2,"D","B","D"
61.2,"E","D","E"
61.2,"D","F","E"
61.2,"F","F","F"
61.2,"C","C","E"
61.2,"C","D","D"
61.2,"D","E","D"
61.2,"F","E","E"
61.2,"B","B","D"
61.1,"A","C","D"
61.1,"A","D","B"
61.1,"A","B","A"
61.1,"D","B","E"
61.1,"D","D","D"
61.1,"B","E","E"
61.1,"C","F","D"
61.1,"A","C","B"
61.1,"B","E","D"
61,"A","F","E"
61,"B","D","D"
61,"F","F","F"
61,"C","F","B"
61,"B","D","E"
61,"A","C","D"
61,"A","D","D"
61,"B","E","D"
60.9,"C","E","E"
60.9,"A","D","B"
60.9,"D","D","E"
60.9,"B","D","D"
60.9,"A","B","B"
60.9,"B","A","C"
60.9,"C","D","E"
60.9,"C","B","C"
60.9,"B","A","E"
60.9,"C","E","E"
60.8,"A","B","B"
60.8,"D","D","E"
60.8,"E","D","E"
60.8,"A","D","D"
60.8,"B","B","B"
60.8,"B","E","E"
60.8,"C","B","E"
60.8,"E","E","F"
60.8,"B","B","C"
60.8,"C","D","F"
60.8,"A","E","D"
60.7,"A","D","E"
60.7,"B","D","D"
60.7,"A","B","B"
60.7,"A","B","B"
60.7,"A","B","B"
60.7,"B","F","D"
60.6,"B","B","B"
60.6,"B","B","C"
60.6,"C","D","D"
60.6,"F","E","F"
60.6,"C","B","D"
60.6,"A","F","D"
60.6,"B","B","B"
60.6,"D","C","E"
60.6,"A","B","B"
60.6,"B","B","D"
60.6,"C","D","D"
60.5,"C","A","A"
60.5,"F","E","E"
60.5,"F","F","F"
60.5,"F","F","E"
60.5,"C","D","E"
60.5,"A","A","B"
60.5,"B","B","D"
60.5,"C","D","B"
60.5,"A","A","C"
60.5,"E","B","B"
60.5,"E","D","C"
60.5,"F","D","F"
60.5,"B","C","D"
60.4,"C","E","E"
60.4,"A","A","B"
60.4,"A","D","C"
60.4,"C","D","E"
60.4,"A","B","B"
60.4,"C","F","F"
60.3,"B","B","D"
60.3,"B","B","B"
60.3,"D","C","D"
60.3,"A","B","B"
60.3,"A","D","D"
60.3,"E","F","F"
60.3,"B","E","E"
60.3,"C","E","E"
60.3,"A","B","C"
60.3,"A","B","B"
60.3,"C","C","C"
60.3,"B","B","C"
60.3,"D","B","D"
60.3,"A","E","D"
60.3,"F","F","F"
60.2,"A","A","A"
60.2,"A","D","D"
60.2,"A","C","C"
60.2,"C","E","E"
60.2,"C","C","D"
60.2,"A","B","C"
60.2,"D","B","D"
60.2,"A","A","B"
60.2,"B","D","D"
60.1,"D","A","B"
60.1,"D","E","E"
60.1,"B","D","C"
60.1,"C","D","B"
60.1,"A","A","A"
60.1,"A","D","B"
60.1,"B","D","D"
60.1,"F","E","E"
60,"D","E","F"
60,"A","B","B"
60,"B","D","E"
60,"B","B","B"
60,"A","D","C"
60,"A","B","D"
60,"A","A","C"
59.9,"A","C","B"
59.9,"B","A","B"
59.9,"A","B","B"
59.9,"A","B","B"
59.9,"D","E","F"
59.9,"C","D","E"
59.9,"B","D","E"
59.9,"E","E","D"
59.9,"D","E","D"
59.9,"A","B","C"
59.8,"C","B","B"
59.8,"A","A","B"
59.8,"A","B","C"
59.8,"A","C","D"
59.8,"A","C","B"
59.8,"E","D","D"
59.8,"C","D","D"
59.8,"D","E","F"
59.8,"C","F","F"
59.7,"A","C","A"
59.7,"A","A","B"
59.7,"A","A","C"
59.7,"B","A","B"
59.7,"A","D","D"
59.7,"E","D","F"
59.7,"C","D","D"
59.7,"F","F","E"
59.7,"C","A","A"
59.7,"A","A","B"
59.7,"C","D","D"
59.7,"E","E","E"
59.7,"B","D","D"
59.6,"A","B","A"
59.6,"B","A","B"
59.6,"A","B","B"
59.6,"E","D","D"
59.6,"A","D","D"
59.6,"A","A","D"
59.6,"B","A","B"
59.6,"A","B","D"
59.6,"E","E","E"
59.6,"A","A","A"
59.6,"D","E","D"
59.6,"B","B","E"
59.6,"C","E","F"
59.5,"A","A","F"
59.5,"A","B","B"
59.5,"C","A","A"
59.5,"A","C","D"
59.5,"B","B","B"
59.5,"C","D","F"
59.5,"E","E","E"
59.5,"A","C","F"
59.5,"A","B","B"
59.5,"B","C","D"
59.4,NA,NA,NA
59.4,"B","F","D"
59.4,"G","A","E"
59.4,"C","D","F"
59.4,"B","D","C"
59.4,"A","C","C"
59.4,"A","D","B"
59.4,"A","B","C"
59.4,"A","C","E"
59.3,"A","D","B"
59.3,"B","A","A"
59.3,"A","D","D"
59.3,"A","C","B"
59.3,"A","D","D"
59.3,"B","D","D"
59.3,"C","D","B"
59.3,"A","C","B"
59.3,"E","D","F"
59.3,"B","E","D"
59.3,"D","D","F"
59.3,"E","E","F"
59.2,"A","B","B"
59.2,"B","D","D"
59.2,"F","E","E"
59.2,"B","B","B"
59.2,"B","D","E"
59.2,"C","E","F"
59.2,"B","B","C"
59.2,"C","E","D"
59.2,"D","B","D"
59.2,"D","F","F"
59.2,"E","C","E"
59.2,"A","B","E"
59.2,"C","B","C"
59.2,"E","E","D"
59.2,"C","B","F"
59.2,"A","B","A"
59.2,"C","D","C"
59.2,"C","D","E"
59.2,"A","D","D"
59.1,"B","B","D"
59.1,"C","D","E"
59.1,"B","C","D"
59.1,"B","B","D"
59.1,"C","D","D"
59.1,"E","E","F"
59.1,"D","D","F"
59.1,"F","D","D"
59.1,"A","C","C"
59.1,"A","D","D"
59.1,"E","D","D"
59.1,"A","B","B"
59.1,"D","E","E"
59.1,"A","A","B"
59.1,"B","D","E"
59,"B","B","B"
59,"D","E","F"
59,"B","D","D"
59,"D","D","E"
59,"A","D","A"
59,"B","B","B"
59,"C","B","B"
59,"B","B","B"
59,"A","B","B"
59,"A","B","B"
59,"A","D","D"
59,"F","E","E"
58.9,"B","C","D"
58.9,"A","B","B"
58.9,"E","E","F"
58.9,"B","D","D"
58.9,"D","E","E"
58.9,"D","D","D"
58.8,"B","B","B"
58.8,"E","D","E"
58.8,"D","D","F"
58.8,"C","D","E"
58.8,"D","C","E"
58.8,"B","A","D"
58.8,"A","D","D"
58.8,"A","B","D"
58.8,"B","B","E"
58.7,"A","B","D"
58.7,"C","A","D"
58.7,"B","D","F"
58.7,"B","A","A"
58.7,"A","D","D"
58.7,"B","C","E"
58.7,"E","D","E"
58.7,"F","F","F"
58.7,"B","D","C"
58.7,"C","B","B"
58.6,"B","D","D"
58.6,"A","C","A"
58.6,"A","C","B"
58.6,"A","B","D"
58.6,"A","C","C"
58.6,"E","E","E"
58.6,"A","B","B"
58.6,"B","E","E"
58.6,"B","B","D"
58.6,"E","D","F"
58.6,"A","C","B"
58.5,NA,NA,NA
58.5,"A","D","B"
58.5,"A","D","D"
58.5,"C","D","D"
58.5,"D","D","D"
58.5,"A","C","D"
58.5,"C","D","D"
58.5,"C","D","B"
58.5,"D","E","E"
58.5,"A","B","F"
58.5,"D","C","F"
58.5,"B","D","C"
58.5,"E","F","F"
58.5,"A","D","E"
58.5,"A","C","B"
58.5,"A","A","A"
58.5,"A","B","C"
58.5,"A","B","D"
58.5,"A","B","B"
58.5,"A","B","D"
58.5,"D","D","E"
58.5,"B","D","B"
58.4,"A","D","E"
58.4,"A","A","A"
58.4,"B","B","B"
58.4,"A","D","D"
58.4,"D","F","D"
58.4,"D","B","B"
58.4,"C","C","D"
58.4,"A","B","B"
58.4,"A","D","B"
58.4,"A","A","B"
58.4,"A","D","D"
58.4,"B","D","E"
58.4,"D","F","F"
58.4,"E","D","E"
58.4,"B","B","C"
58.4,"D","A","B"
58.4,"D","D","D"
58.4,"D","E","D"
58.4,"B","C","F"
58.4,"A","B","B"
58.3,"C","C","D"
58.3,"C","E","F"
58.3,"F","E","E"
58.3,"D","E","F"
58.3,"B","B","D"
58.3,"B","C","F"
58.3,"E","F","E"
58.3,"B","B","E"
58.3,"A","B","B"
58.3,"B","B","D"
58.2,"B","D","D"
58.2,"C","E","F"
58.2,"F","D","E"
58.2,"A","B","C"
58.2,"E","D","D"
58.2,"B","C","C"
58.2,"G","E","E"
58.2,"A","A","C"
58.2,"B","A","C"
58.1,"D","B","D"
58.1,"C","D","E"
58.1,"A","E","C"
58.1,"B","D","E"
58.1,"C","B","E"
58.1,"A","A","B"
58,"A","B","C"
58,"A","B","B"
58,"B","D","F"
